comuna,ica,fecha,id
comuna 4,39,2024-06-25,19224
comuna 4,36,2024-06-25,9880
comuna 3,92,2024-06-25,38420
comuna 16,46,2024-06-23,19935
comuna 14,27,2024-06-25,48978
comuna 10,17,2024-06-23,13417
comuna 14,22,2024-06-23,4934
comuna 8,52,2024-06-25,16496
comuna 2,84,2024-06-23,13163
comuna 3,18,2024-06-23,30331
comuna 6,47,2024-01-30,31331
comuna 3,82,2024-01-30,19584
comuna 3,64,2024-06-25,5853
comuna 3,44,2024-01-30,3144
comuna 8,82,2024-06-23,35107
comuna 5,50,2024-07-31,9817
comuna 7,70,2024-06-23,29091
comuna 10,27,2024-06-23,5326
comuna 15,15,2024-07-31,36397
comuna 12,49,2024-01-30,4092
comuna 14,37,2024-07-31,26791
comuna 16,35,2024-06-25,21600
comuna 7,11,2024-01-30,40113
comuna 9,55,2024-07-31,13300
comuna 2,71,2024-01-30,41748
comuna 6,80,2024-06-25,19003
comuna 16,17,2024-01-30,663
comuna 4,65,2024-06-23,7064
comuna 11,92,2024-01-30,47437
comuna 5,94,2024-06-23,39203
comuna 9,76,2024-06-25,24823
comuna 5,28,2024-06-25,21844
comuna 10,83,2024-06-25,39177
comuna 7,59,2024-01-30,35855
comuna 8,42,2024-06-23,13740
comuna 13,14,2024-01-30,31858
comuna 14,11,2024-06-25,46557
comuna 14,71,2024-06-25,1496
comuna 9,24,2024-01-30,34649
comuna 14,24,2024-06-23,44934
comuna 4,53,2024-06-25,27717
comuna 11,44,2024-01-30,3432
comuna 11,81,2024-01-30,22451
comuna 1,45,2024-06-25,37474
comuna 2,23,2024-07-31,47785
comuna 14,72,2024-06-23,8793
comuna 4,84,2024-06-23,48629
comuna 9,11,2024-07-31,38956
comuna 10,50,2024-06-23,24486
comuna 12,48,2024-01-30,13769
comuna 16,50,2024-06-23,46356
comuna 7,95,2024-06-23,17554
comuna 15,63,2024-01-30,29113
comuna 6,95,2024-06-25,16700
comuna 10,57,2024-01-30,26992
comuna 8,86,2024-06-23,34168
comuna 3,10,2024-06-23,569
comuna 6,83,2024-07-31,29888
comuna 3,90,2024-06-23,63
comuna 15,20,2024-06-25,22583
comuna 9,56,2024-07-31,19151
comuna 9,26,2024-06-23,1271
comuna 12,37,2024-01-30,7499
comuna 11,66,2024-06-25,32947
comuna 9,91,2024-07-31,36208
comuna 13,81,2024-07-31,10256
comuna 2,53,2024-07-31,34455
comuna 9,29,2024-06-23,19365
comuna 4,88,2024-06-23,41839
comuna 1,39,2024-06-23,23770
comuna 16,96,2024-06-23,5239
comuna 5,41,2024-06-25,41977
comuna 6,33,2024-06-25,29136
comuna 13,67,2024-01-30,109
comuna 4,13,2024-06-25,36256
comuna 12,24,2024-07-31,39502
comuna 3,16,2024-07-31,4416
comuna 15,86,2024-07-31,45124
comuna 10,66,2024-07-31,38336
comuna 15,75,2024-06-23,49938
comuna 2,38,2024-01-30,30732
comuna 12,19,2024-01-30,39703
comuna 8,38,2024-07-31,49389
comuna 15,78,2024-06-25,49371
comuna 7,39,2024-06-25,12572
comuna 1,81,2024-01-30,46000
comuna 16,80,2024-01-30,22277
comuna 14,23,2024-06-25,6081
comuna 13,11,2024-06-25,16156
comuna 7,78,2024-06-23,26273
comuna 14,70,2024-07-31,28645
comuna 2,12,2024-06-25,29493
comuna 9,48,2024-06-23,34636
comuna 16,53,2024-07-31,48093
comuna 7,89,2024-06-23,9943
comuna 2,57,2024-01-30,18272
comuna 16,39,2024-01-30,8693
comuna 11,93,2024-07-31,23577
comuna 4,61,2024-01-30,10206
comuna 1,25,2024-06-23,42694
comuna 6,37,2024-07-31,48273
comuna 4,20,2024-07-31,8317
comuna 11,39,2024-06-25,14358
comuna 4,78,2024-06-25,49281
comuna 15,92,2024-07-31,23378
comuna 8,58,2024-07-31,32394
comuna 12,10,2024-06-23,17527
comuna 16,83,2024-06-25,30334
comuna 5,93,2024-07-31,18450
comuna 10,53,2024-01-30,49272
comuna 2,29,2024-06-23,38813
comuna 10,86,2024-06-23,37952
comuna 2,42,2024-01-30,48368
comuna 4,77,2024-01-30,34454
comuna 7,93,2024-06-23,16049
comuna 5,69,2024-01-30,7815
comuna 7,38,2024-06-25,13860
comuna 10,92,2024-01-30,25329
comuna 8,61,2024-06-23,27373
comuna 6,18,2024-07-31,44455
comuna 6,62,2024-06-25,1080
comuna 12,54,2024-07-31,5621
comuna 1,71,2024-06-25,5952
comuna 13,22,2024-07-31,6079
comuna 10,97,2024-06-25,33986
comuna 8,92,2024-07-31,12080
comuna 8,16,2024-06-25,45751
comuna 16,56,2024-01-30,28913
comuna 1,51,2024-06-23,19064
comuna 16,17,2024-06-25,7827
comuna 12,97,2024-06-25,41165
comuna 13,16,2024-01-30,2711
comuna 11,38,2024-06-23,4583
comuna 7,34,2024-07-31,31904
comuna 10,74,2024-06-25,21041
comuna 13,85,2024-01-30,21674
comuna 9,27,2024-07-31,31869
comuna 10,23,2024-07-31,12405
comuna 16,50,2024-01-30,27016
comuna 7,90,2024-06-23,29063
comuna 10,48,2024-06-25,38393
comuna 6,89,2024-01-30,33809
comuna 15,91,2024-06-23,23074
comuna 16,95,2024-06-25,23573
comuna 14,33,2024-06-23,11190
comuna 6,48,2024-06-23,11440
comuna 12,12,2024-01-30,9189
comuna 6,96,2024-06-25,48301
comuna 3,38,2024-07-31,21478
comuna 3,13,2024-06-23,7812
comuna 2,62,2024-06-23,43297
comuna 8,79,2024-07-31,34082
comuna 8,79,2024-01-30,27538
comuna 12,65,2024-07-31,5604
comuna 8,28,2024-06-23,43301
comuna 3,27,2024-07-31,23704
comuna 3,85,2024-01-30,37203
comuna 3,12,2024-06-23,37984
comuna 2,13,2024-06-25,16541
comuna 14,56,2024-06-25,12313
comuna 4,89,2024-07-31,39880
comuna 16,81,2024-06-23,19112
comuna 12,45,2024-01-30,26389
comuna 5,54,2024-06-25,10131
comuna 12,91,2024-01-30,4886
comuna 13,74,2024-01-30,46233
comuna 13,74,2024-01-30,38653
comuna 6,31,2024-07-31,27576
comuna 13,64,2024-06-23,14525
comuna 11,98,2024-07-31,11286
comuna 10,18,2024-06-23,2180
comuna 13,55,2024-06-23,38543
comuna 9,73,2024-06-25,42618
comuna 3,73,2024-06-25,22990
comuna 6,66,2024-06-23,26195
comuna 10,84,2024-07-31,32542
comuna 10,32,2024-07-31,26048
comuna 11,97,2024-01-30,32768
comuna 2,46,2024-06-25,48657
comuna 3,34,2024-06-25,17268
comuna 14,46,2024-01-30,3292
comuna 16,12,2024-06-23,23469
comuna 14,61,2024-01-30,18994
comuna 4,34,2024-01-30,34457
comuna 13,88,2024-07-31,5983
comuna 16,37,2024-06-23,40006
comuna 14,72,2024-06-23,22603
comuna 8,38,2024-06-23,16110
comuna 15,72,2024-06-23,23741
comuna 2,31,2024-07-31,16221
comuna 7,92,2024-06-25,8682
comuna 5,28,2024-06-25,15368
comuna 9,24,2024-01-30,34900
comuna 4,95,2024-06-25,17130
comuna 13,11,2024-07-31,2475
comuna 4,14,2024-06-25,12575
comuna 15,66,2024-06-25,12591
comuna 4,85,2024-01-30,12637
comuna 3,95,2024-06-25,6625
comuna 4,92,2024-07-31,15055
comuna 3,63,2024-06-23,2677
comuna 1,69,2024-06-25,1308
comuna 6,22,2024-06-25,9261
comuna 4,100,2024-07-31,31242
comuna 2,56,2024-06-23,28761
comuna 14,94,2024-06-25,3248
comuna 6,15,2024-01-30,779
comuna 9,95,2024-01-30,2697
comuna 1,46,2024-01-30,16691
comuna 12,58,2024-07-31,16414
comuna 14,61,2024-06-25,2419
comuna 1,97,2024-06-23,11729
comuna 3,90,2024-07-31,47627
comuna 4,80,2024-06-25,45432
comuna 4,99,2024-01-30,26401
comuna 13,19,2024-07-31,31300
comuna 7,23,2024-01-30,21287
comuna 4,26,2024-06-23,13119
comuna 15,95,2024-07-31,25617
comuna 16,54,2024-06-23,24276
comuna 5,99,2024-06-23,43591
comuna 10,45,2024-06-23,26781
comuna 12,50,2024-06-23,6382
comuna 9,43,2024-06-25,470
comuna 2,79,2024-06-25,31999
comuna 13,98,2024-06-23,33924
comuna 14,99,2024-07-31,42090
comuna 8,30,2024-07-31,7228
comuna 12,98,2024-01-30,46965
comuna 2,40,2024-01-30,43832
comuna 4,91,2024-06-23,24578
comuna 10,59,2024-06-23,28496
comuna 13,28,2024-06-25,34923
comuna 16,79,2024-01-30,25961
comuna 4,60,2024-07-31,33556
comuna 10,57,2024-01-30,7164
comuna 1,36,2024-06-25,3119
comuna 15,54,2024-01-30,23008
comuna 14,67,2024-06-23,37595
comuna 8,11,2024-01-30,38518
comuna 6,60,2024-06-23,18050
comuna 13,38,2024-07-31,17613
comuna 11,35,2024-06-23,31005
comuna 3,12,2024-01-30,31691
comuna 6,34,2024-07-31,15133
comuna 7,97,2024-07-31,11286
comuna 12,46,2024-07-31,45553
comuna 3,67,2024-07-31,24880
comuna 3,12,2024-06-23,39445
comuna 2,26,2024-06-23,32566
comuna 7,21,2024-06-25,40861
comuna 11,17,2024-07-31,18452
comuna 6,16,2024-06-25,10935
comuna 15,100,2024-07-31,41065
comuna 9,21,2024-07-31,1288
comuna 5,92,2024-06-25,9616
comuna 3,33,2024-01-30,8846
comuna 12,42,2024-06-25,12335
comuna 4,84,2024-01-30,25867
comuna 3,63,2024-07-31,22438
comuna 12,48,2024-01-30,36006
comuna 9,85,2024-06-23,74
comuna 9,47,2024-06-23,30635
comuna 13,29,2024-01-30,7128
comuna 11,52,2024-01-30,14910
comuna 12,52,2024-07-31,3072
comuna 14,68,2024-07-31,40351
comuna 1,54,2024-06-23,25714
comuna 15,27,2024-06-23,14901
comuna 6,84,2024-01-30,2160
comuna 5,80,2024-06-25,48574
comuna 11,62,2024-07-31,44144
comuna 14,91,2024-06-25,17957
comuna 2,79,2024-07-31,24614
comuna 3,33,2024-06-23,18107
comuna 4,76,2024-06-25,40620
comuna 2,37,2024-01-30,26879
comuna 8,47,2024-06-25,7345
comuna 4,58,2024-06-23,20131
comuna 8,82,2024-06-23,27661
comuna 9,61,2024-06-25,35317
comuna 2,42,2024-06-23,41111
comuna 11,81,2024-06-23,5706
comuna 15,70,2024-07-31,1368
comuna 14,12,2024-06-25,12761
comuna 15,50,2024-01-30,14763
comuna 5,51,2024-06-25,42536
comuna 13,66,2024-01-30,21948
comuna 7,94,2024-06-25,20808
comuna 15,72,2024-07-31,10966
comuna 6,76,2024-01-30,21786
comuna 4,31,2024-06-25,14677
comuna 2,59,2024-06-25,42189
comuna 14,43,2024-01-30,40186
comuna 15,71,2024-06-23,37003
comuna 13,51,2024-07-31,48444
comuna 7,86,2024-06-23,18560
comuna 16,18,2024-07-31,33004
comuna 2,100,2024-01-30,10749
comuna 3,87,2024-07-31,29731
comuna 12,59,2024-01-30,48642
comuna 7,26,2024-06-23,9566
comuna 3,47,2024-01-30,44720
comuna 4,91,2024-07-31,7432
comuna 4,27,2024-06-25,36601
comuna 2,59,2024-07-31,3363
comuna 2,57,2024-01-30,20520
comuna 3,19,2024-06-25,30376
comuna 1,24,2024-01-30,49541
comuna 5,91,2024-06-23,10799
comuna 12,99,2024-06-23,37193
comuna 15,50,2024-07-31,35844
comuna 12,86,2024-06-25,37365
comuna 14,54,2024-01-30,20802
comuna 3,98,2024-06-25,47648
comuna 16,86,2024-07-31,32673
comuna 16,56,2024-06-23,48584
comuna 6,71,2024-01-30,26270
comuna 9,81,2024-06-25,45076
comuna 2,98,2024-06-23,26458
comuna 5,48,2024-06-25,13519
comuna 2,65,2024-06-23,39020
comuna 14,24,2024-01-30,35322
comuna 9,90,2024-07-31,42779
comuna 10,60,2024-06-23,11809
comuna 1,23,2024-06-23,40842
comuna 15,91,2024-07-31,45430
comuna 1,61,2024-06-25,16087
comuna 8,50,2024-06-25,748
comuna 4,40,2024-06-25,19574
comuna 9,72,2024-06-23,39641
comuna 13,33,2024-07-31,1130
comuna 12,15,2024-07-31,10033
comuna 6,12,2024-06-23,41181
comuna 15,12,2024-06-23,8464
comuna 6,45,2024-07-31,8012
comuna 11,79,2024-07-31,21717
comuna 5,54,2024-06-23,23006
comuna 2,25,2024-06-25,23655
comuna 4,77,2024-06-23,49693
comuna 5,24,2024-01-30,9781
comuna 1,14,2024-07-31,25250
comuna 1,39,2024-06-25,49928
comuna 12,81,2024-07-31,31642
comuna 15,29,2024-07-31,39306
comuna 5,40,2024-06-25,25523
comuna 2,21,2024-01-30,40139
comuna 10,100,2024-06-23,35857
comuna 11,57,2024-06-25,119
comuna 16,14,2024-06-23,30257
comuna 5,23,2024-01-30,13828
comuna 12,69,2024-06-23,2000
comuna 6,45,2024-06-23,25273
comuna 12,34,2024-06-25,14557
comuna 8,50,2024-06-25,30557
comuna 4,15,2024-06-23,24247
comuna 5,49,2024-01-30,10042
comuna 13,53,2024-07-31,33241
comuna 16,47,2024-01-30,42617
comuna 1,60,2024-01-30,26349
comuna 16,51,2024-01-30,39536
comuna 4,59,2024-01-30,49706
comuna 11,24,2024-06-25,19114
comuna 5,31,2024-06-25,35725
comuna 6,65,2024-07-31,29417
comuna 2,59,2024-01-30,5451
comuna 9,39,2024-06-23,35938
comuna 11,75,2024-06-23,8755
comuna 3,74,2024-06-25,29835
comuna 1,95,2024-06-23,15651
comuna 13,61,2024-07-31,17200
comuna 3,32,2024-01-30,21248
comuna 13,41,2024-01-30,41099
comuna 5,96,2024-07-31,29478
comuna 4,73,2024-06-23,16749
comuna 1,94,2024-06-25,30346
comuna 1,78,2024-07-31,48027
comuna 12,22,2024-06-23,25060
comuna 16,17,2024-06-25,49487
comuna 8,66,2024-07-31,32121
comuna 4,11,2024-06-25,38133
comuna 12,49,2024-06-23,5278
comuna 14,39,2024-07-31,22733
comuna 1,27,2024-07-31,32460
comuna 5,28,2024-07-31,626
comuna 5,71,2024-07-31,17215
comuna 16,100,2024-01-30,29449
comuna 7,84,2024-07-31,41145
comuna 1,23,2024-06-23,21347
comuna 8,25,2024-01-30,26890
comuna 9,12,2024-06-23,3736
comuna 11,33,2024-06-25,25003
comuna 15,34,2024-01-30,14271
comuna 6,83,2024-06-23,22438
comuna 15,99,2024-07-31,38124
comuna 14,60,2024-06-23,10085
comuna 1,28,2024-06-23,1611
comuna 3,19,2024-07-31,36898
comuna 16,25,2024-07-31,37516
comuna 10,40,2024-01-30,42778
comuna 13,62,2024-06-25,10998
comuna 4,14,2024-01-30,30833
comuna 4,28,2024-07-31,42394
comuna 1,88,2024-07-31,33869
comuna 8,85,2024-06-23,14470
comuna 5,16,2024-06-25,11202
comuna 2,66,2024-07-31,43922
comuna 1,85,2024-01-30,26519
comuna 14,60,2024-01-30,1326
comuna 13,25,2024-01-30,20590
comuna 10,92,2024-06-25,23729
comuna 2,33,2024-06-25,21595
comuna 3,96,2024-06-23,3283
comuna 8,97,2024-06-23,8245
comuna 12,23,2024-06-23,19851
comuna 5,49,2024-01-30,33521
comuna 8,29,2024-01-30,37741
comuna 8,95,2024-06-25,31279
comuna 3,53,2024-06-23,2868
comuna 9,59,2024-06-23,7600
comuna 10,97,2024-07-31,48106
comuna 16,62,2024-06-23,22378
comuna 3,30,2024-06-23,16687
comuna 7,78,2024-06-25,41412
comuna 6,52,2024-06-23,23288
comuna 5,41,2024-06-25,15682
comuna 6,45,2024-01-30,45015
comuna 15,66,2024-06-23,7763
comuna 5,85,2024-06-25,46373
comuna 11,56,2024-01-30,21364
comuna 15,91,2024-06-25,408
comuna 14,72,2024-01-30,945
comuna 7,32,2024-01-30,4165
comuna 9,75,2024-01-30,35229
comuna 16,94,2024-07-31,22089
comuna 11,77,2024-01-30,28975
comuna 7,16,2024-01-30,9491
comuna 6,28,2024-01-30,38726
comuna 13,17,2024-07-31,9652
comuna 4,39,2024-01-30,3906
comuna 10,23,2024-06-23,39777
comuna 9,34,2024-06-23,16821
comuna 12,87,2024-07-31,24645
comuna 6,57,2024-01-30,27906
comuna 2,49,2024-07-31,13276
comuna 15,33,2024-01-30,1518
comuna 13,90,2024-01-30,8053
comuna 14,10,2024-06-23,18429
comuna 8,41,2024-06-25,5999
comuna 5,33,2024-01-30,6725
comuna 9,48,2024-06-25,7255
comuna 14,26,2024-06-23,31185
comuna 15,59,2024-07-31,43711
comuna 5,61,2024-07-31,15837
comuna 3,57,2024-07-31,33072
comuna 11,79,2024-06-23,10483
comuna 3,67,2024-07-31,2587
comuna 16,21,2024-07-31,43808
comuna 15,91,2024-01-30,35340
comuna 15,26,2024-07-31,2312
comuna 7,80,2024-07-31,24304
comuna 15,57,2024-01-30,12782
comuna 3,29,2024-06-25,24723
comuna 16,100,2024-06-25,42286
comuna 16,82,2024-07-31,28385
comuna 8,75,2024-06-23,38290
comuna 10,22,2024-01-30,22909
comuna 10,90,2024-06-25,25113
comuna 10,81,2024-01-30,11923
comuna 3,95,2024-07-31,13888
comuna 8,55,2024-01-30,5418
comuna 11,37,2024-01-30,31388
comuna 1,85,2024-01-30,1488
comuna 12,19,2024-06-25,26321
comuna 5,49,2024-01-30,6181
comuna 8,39,2024-06-25,25217
comuna 3,81,2024-06-25,8557
comuna 14,42,2024-01-30,13307
comuna 13,96,2024-06-25,34069
comuna 9,36,2024-06-23,17668
comuna 13,38,2024-01-30,17957
comuna 13,39,2024-06-25,45384
comuna 6,28,2024-06-23,30006
comuna 13,72,2024-06-25,5764
comuna 1,18,2024-01-30,35676
comuna 6,17,2024-01-30,18
comuna 13,84,2024-06-25,26313
comuna 16,94,2024-06-23,24187
comuna 2,97,2024-01-30,2588
comuna 16,92,2024-06-25,5411
comuna 4,93,2024-06-25,14548
comuna 6,49,2024-06-23,21051
comuna 6,60,2024-07-31,17875
comuna 7,43,2024-06-25,21297
comuna 5,18,2024-01-30,12755
comuna 9,63,2024-06-23,41893
comuna 10,60,2024-01-30,9668
comuna 2,55,2024-06-23,27607
comuna 3,73,2024-01-30,22493
comuna 8,78,2024-06-23,41836
comuna 4,76,2024-07-31,35040
comuna 7,59,2024-01-30,42684
comuna 14,58,2024-01-30,34721
comuna 8,95,2024-06-23,45603
comuna 16,80,2024-06-23,32018
comuna 9,88,2024-06-23,31857
comuna 6,23,2024-06-25,11244
comuna 3,17,2024-07-31,4153
comuna 15,55,2024-01-30,2316
comuna 8,29,2024-07-31,1576
comuna 7,18,2024-01-30,15783
comuna 7,13,2024-06-25,10121
comuna 9,51,2024-01-30,33533
comuna 14,24,2024-01-30,8748
comuna 6,72,2024-06-23,25516
comuna 12,42,2024-06-23,7641
comuna 6,97,2024-01-30,2913
comuna 1,89,2024-06-25,19955
comuna 16,99,2024-06-23,14933
comuna 16,82,2024-01-30,16012
comuna 9,82,2024-06-23,34118
comuna 7,99,2024-06-25,46447
comuna 16,97,2024-06-25,6560
comuna 16,41,2024-01-30,24267
comuna 8,21,2024-06-25,39227
comuna 15,32,2024-01-30,20345
comuna 14,100,2024-06-23,31535
comuna 3,69,2024-07-31,43392
comuna 16,34,2024-06-23,10802
comuna 9,35,2024-06-25,26830
comuna 12,59,2024-01-30,42735
comuna 13,94,2024-07-31,7177
comuna 7,17,2024-06-23,28057
comuna 11,51,2024-01-30,2350
comuna 6,47,2024-06-25,47650
comuna 12,16,2024-06-25,2
comuna 11,68,2024-06-23,4391
comuna 14,10,2024-06-25,46302
comuna 13,41,2024-06-23,44473
comuna 6,90,2024-01-30,32106
comuna 6,67,2024-07-31,28453
comuna 9,40,2024-06-23,3398
comuna 7,45,2024-07-31,518
comuna 2,41,2024-01-30,23745
comuna 5,26,2024-07-31,20998
comuna 13,33,2024-01-30,33504
comuna 5,92,2024-06-23,23652
comuna 2,92,2024-06-23,30075
comuna 15,65,2024-01-30,36822
comuna 8,92,2024-06-25,35572
comuna 10,13,2024-01-30,38489
comuna 10,85,2024-06-25,34886
comuna 8,61,2024-01-30,27128
comuna 7,24,2024-06-23,5120
comuna 11,86,2024-07-31,21710
comuna 14,69,2024-01-30,49730
comuna 3,81,2024-06-23,39676
comuna 14,24,2024-01-30,40415
comuna 10,80,2024-01-30,36265
comuna 6,79,2024-06-23,34241
comuna 7,99,2024-06-25,14990
comuna 15,12,2024-06-23,15272
comuna 3,75,2024-06-23,35676
comuna 5,38,2024-06-25,10084
comuna 8,15,2024-06-25,16339
comuna 6,86,2024-01-30,35303
comuna 7,25,2024-01-30,4457
comuna 15,98,2024-07-31,25918
comuna 15,50,2024-06-23,44350
comuna 12,96,2024-06-23,19160
comuna 3,80,2024-07-31,47618
comuna 2,48,2024-07-31,13988
comuna 4,61,2024-07-31,40661
comuna 9,48,2024-07-31,38409
comuna 1,21,2024-06-25,4767
comuna 15,61,2024-06-23,49099
comuna 14,72,2024-07-31,8195
comuna 5,80,2024-07-31,21644
comuna 3,48,2024-07-31,5884
comuna 3,20,2024-06-25,23538
comuna 13,50,2024-06-23,7986
comuna 4,80,2024-07-31,44997
comuna 1,73,2024-06-23,37262
comuna 1,50,2024-06-25,24783
comuna 2,27,2024-07-31,8708
comuna 11,97,2024-06-25,40498
comuna 16,19,2024-06-25,46642
comuna 11,60,2024-06-23,47470
comuna 13,13,2024-07-31,1500
comuna 1,17,2024-06-25,25580
comuna 14,19,2024-06-25,14360
comuna 12,97,2024-06-23,31510
comuna 10,85,2024-06-23,6570
comuna 1,78,2024-06-23,18151
comuna 2,72,2024-07-31,18155
comuna 9,26,2024-06-25,35023
comuna 1,41,2024-07-31,20221
comuna 13,23,2024-06-25,47085
comuna 16,44,2024-06-25,33243
comuna 11,96,2024-06-25,3200
comuna 7,25,2024-07-31,2687
comuna 5,18,2024-07-31,26815
comuna 7,43,2024-07-31,35639
comuna 6,79,2024-06-25,10927
comuna 5,63,2024-01-30,20151
comuna 14,87,2024-01-30,32468
comuna 9,81,2024-07-31,29330
comuna 14,24,2024-06-25,22726
comuna 8,53,2024-06-25,21580
comuna 12,80,2024-07-31,28690
comuna 10,63,2024-06-25,13837
comuna 1,40,2024-06-23,30348
comuna 5,38,2024-01-30,47273
comuna 15,62,2024-06-23,27148
comuna 2,96,2024-06-23,13433
comuna 14,50,2024-01-30,31963
comuna 8,56,2024-07-31,23411
comuna 3,84,2024-01-30,37031
comuna 16,49,2024-07-31,46714
comuna 14,88,2024-01-30,38095
comuna 5,33,2024-06-23,8153
comuna 13,75,2024-01-30,10887
comuna 9,34,2024-06-23,42210
comuna 11,61,2024-06-25,17796
comuna 2,85,2024-01-30,15648
comuna 9,87,2024-06-23,28042
comuna 3,16,2024-07-31,19654
comuna 1,70,2024-01-30,15639
comuna 1,97,2024-01-30,7176
comuna 9,50,2024-06-23,12444
comuna 4,75,2024-06-25,30316
comuna 8,28,2024-07-31,18227
comuna 4,10,2024-06-23,21068
comuna 8,32,2024-06-23,26232
comuna 14,21,2024-07-31,15761
comuna 12,56,2024-07-31,4414
comuna 9,34,2024-07-31,4866
comuna 15,13,2024-07-31,49820
comuna 8,79,2024-06-23,48920
comuna 7,10,2024-06-23,31362
comuna 2,66,2024-07-31,16541
comuna 16,46,2024-06-23,30545
comuna 12,61,2024-06-23,3532
comuna 11,97,2024-01-30,39001
comuna 9,50,2024-06-23,38550
comuna 16,93,2024-06-23,25751
comuna 5,54,2024-06-25,9082
comuna 7,55,2024-06-23,39707
comuna 12,55,2024-06-25,38327
comuna 1,88,2024-06-23,26916
comuna 7,11,2024-07-31,43583
comuna 2,50,2024-06-23,15062
comuna 13,33,2024-07-31,8489
comuna 10,81,2024-01-30,22412
comuna 8,29,2024-07-31,20501
comuna 4,10,2024-06-25,12122
comuna 9,67,2024-06-25,758
comuna 4,47,2024-07-31,41032
comuna 12,23,2024-07-31,21644
comuna 6,42,2024-01-30,3077
comuna 4,10,2024-06-25,19922
comuna 16,49,2024-06-23,5108
comuna 12,64,2024-07-31,34096
comuna 8,37,2024-06-25,3167
comuna 5,52,2024-07-31,36308
comuna 10,78,2024-06-25,38423
comuna 9,60,2024-01-30,29773
comuna 2,68,2024-06-23,14074
